Unit price,Quantity,Total,gross income,Rating,Year,Month,Day,IsWeekend,Hour,Average_price_Item,Branch_B,Branch_C,City_Naypyitaw,City_Yangon,Customer_type_Normal,Gender_Male,Product line_Fashion accessories,Product line_Food and beverages,Product line_Health and beauty,Product line_Home and lifestyle,Product line_Sports and travel,Payment_Credit card,Payment_Ewallet,Weekday_Monday,Weekday_Saturday,Weekday_Sunday,Weekday_Thursday,Weekday_Tuesday,Weekday_Wednesday,PartOfTheDay_Afternoon,PartOfTheDay_Evening,PartOfTheDay_Night
15.28,5,80.22,3.82,9.6,2021.0,8.0,3.0,0,10,16.044,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
46.33,7,340.5255,16.2155,7.4,2021.0,3.0,3.0,0,13,48.6465,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
58.22,8,489.048,23.288,8.4,,,,0,20,61.131,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
86.31,7,634.3785,30.2085,5.3,2021.0,8.0,2.0,0,10,90.6255,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
85.39,7,627.6165,29.8865,4.1,,,,0,18,89.6595,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
68.84,6,433.692,20.652,5.8,,,,0,14,72.282,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
73.56,10,772.38,36.78,8.0,,,,0,11,77.238,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
36.26,2,76.146,3.626,7.2,2021.0,10.0,1.0,0,17,38.073,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
54.84,3,172.746,8.226,5.9,,,,0,13,57.582,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
14.48,4,60.816,2.896,4.5,2021.0,6.0,2.0,0,18,15.204,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
